source,category,width,height,off_grid,strategy,slices_written,padded_slices,manual_review,notes,output_dir
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_b_3x.png,bosses,432,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_b_3x_2.png,bosses,432,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_c.png,bosses,144,256,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_c_2x.png,bosses,288,512,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_c_3x.png,bosses,432,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tentable_c_3x_2.png,bosses,432,768,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tiles.png,bosses,208,64,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tiles_2x.png,bosses,416,128,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tiles_3x.png,bosses,624,192,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_bossplant_tiles_3x_2.png,bosses,624,192,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_demking_battler_1.png,bosses,207,200,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_1
assets/sprites/bosses/_imports/spr_boss_import_demking_battler_2.png,bosses,414,400,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_2
assets/sprites/bosses/_imports/spr_boss_import_demking_battler_3.png,bosses,621,600,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_3
assets/sprites/bosses/_imports/spr_boss_import_demking_battler_3_2.png,bosses,621,600,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_3_2
assets/sprites/bosses/_imports/spr_boss_import_demoness_boss_1.png,bosses,72,72,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demoness_boss_1
assets/sprites/bosses/_imports/spr_boss_import_demoness_boss_1_2x.png,bosses,144,144,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_demoness_boss_1_3x.png,bosses,216,216,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demoness_boss_1_3x
assets/sprites/bosses/_imports/spr_boss_import_demoness_boss_1_e.png,bosses,72,72,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demoness_boss_1_e
assets/sprites/bosses/_imports/spr_boss_import_demoness_boss_1_e_2x.png,bosses,144,144,no,skipped_on_grid,0,0,no,already aligned to pad grid,
assets/sprites/bosses/_imports/spr_boss_import_demoness_boss_1_e_3x.png,bosses,216,216,yes,components_alpha,1,1,no,component_count=1,assets/sprites/bosses/_slices/spr_boss_import_demoness_boss_1_e_3x
